1	2	3	4	5	location
-88	-84	-80			center
-94	-84	-76	-60		center
					center
-96	-90	-76	-70	-94	center
-94	-90	-80	-68	-94	center
-88	-84	-76	-60	-96	center
-88	-80			-94	center
	-80	-78	-60	-90	center
-90	-84		-68	-88	center
	-88	-78	-68	-94	center
-94	-84	-80		-90	center
-88	-90	-80	-60	-94	center
-94	-84	-80		-88	center
	-88	-78			center
-94	-82	-80	-60	-94	center
-88	-84	-76	-68	-94	center
-96	-84	-80	-68		center
-88	-88	-80	-60		center
	-80		-60		center
	-88	-76	-60	-90	center
-88	-86	-78	-68	-94	center
-88	-84	-80	-68	-94	center
-88	-80	-78		-94	center
	-80	-78	-60		center
-94	-80	-80		-96	center
-88	-90	-78	-60	-96	center
	-90	-76	-60	-88	center
-88	-84	-78		-94	center
-92		-80	-68	-88	center
	-90	-78		-90	center
-88	-84	-78	-60	-96	center
-96	-84	-82	-60	-94	center
-96	-88	-76	-60		center
-88	-88	-78	-68		center
-86	-80	-80	-60		center
-92	-82	-76	-60	-94	center
-88	-80			-88	center
-94	-88	-76	-60	-88	center
-88	-96	-80	-60	-94	center
-88	-84	-76	-68	-88	center
-88	-86	-80		-94	center
-92	-82		-60	-94	center
-88	-80	-78			center
-94	-82	-80	-60		center
-92	-88		-60	-94	center
	-80		-68	-96	center
	-80		-60		center
-88	-82	-78	-60	-88	center
-92		-78	-60	-94	center
-88	-86	-80	-60		center
-94			-68		center
-88	-88	-78	-60	-88	center
-88	-84	-80	-60	-88	center
-88	-80	-78	-60		center
-94	-86	-78	-60	-88	center
-94	-80	-78	-68	-94	center
-96	-88		-68	-90	center
-88	-88		-60		center
-88	-82	-76	-60		center
-88	-88	-78	-60		center
-94	-82	-80	-66		center
	-88	-74			center
-94	-82	-80		-96	center
-94	-80	-76	-60	-90	center
	-84	-78			center
-88	-88	-80	-60	-96	center
